"","rmse","lambda"
"1",0.0954531817786629,0.035
"2",0.172193673522042,0.025
"3",0.263507354309272,0.025
"4",0.0338483139762524,0.02
"5",0.216873619096627,0.02
"6",0.198471891657116,0.025
"7",0.165836051163857,0.03
"8",0.0134817566284313,0.01
"9",0.243043287430915,0.03
"10",0.117142587209653,0.025
