"","rmse","lambda"
"1",0.118813536782148,0.03
"2",0.102123670597571,0.01
"3",0.095681131392995,0.02
"4",0.166634197640557,0.02
"5",0.098788347972157,0.025
"6",0.0973307760208599,0.03
"7",0.0208432695229785,0.035
"8",0.0484520110534814,0.025
"9",0.0730642157515446,0.025
"10",0.310849856525686,0.03
