"","rmse","lambda"
"1",0.029892554968047,0.025
"2",0.161123681074374,0.01
"3",0.298231270903901,0.03
"4",0.124511958528307,0.03
"5",0.126934144448907,0.035
"6",0.125209375766445,0.03
"7",0.122561942254534,0.025
"8",0.0981174508634404,0.02
"9",0.245691853726112,0.025
"10",0.0436742376883338,0.02
