"","rmse","lambda"
"1",0.159957861477184,0.035
"2",0.0683000871807917,0.02
"3",0.184236246140829,0.025
"4",0.0685890539908665,0.025
"5",0.0802980022155701,0.035
"6",0.231646801780692,0.025
"7",0.252364043981222,0.02
"8",0.0221438101304885,0.015
"9",0.0434607085942026,0.03
"10",0.566501581282682,0.035
