"","rmse","lambda"
"1",0.165984804825344,0.025
"2",0.317243483970606,0.01
"3",0.103305844861708,0.03
"4",0.343901267845525,0.04
"5",0.000286891766991567,0.02
"6",0.203341297716475,0.01
"7",0.0511689559891033,0.025
"8",0.0204516973474576,0.035
"9",0.336965910623847,0.02
"10",0.0836287018519724,0.025
