"","X","avg","med","std","max_depth","gamma","subsample","colsample_bytree"
"112",94,0.170573055659837,0.171738079681777,0.10229870083863,8,6,0.8,0.6
"113",77,0.17071406381318,0.193794754606569,0.112668048142481,6,6,0.6,0.6
"114",21,0.171295570098277,0.171064615395719,0.108509249927461,6,2,0.6,0.4
"115",1,0.171758040172572,0.158473178606683,0.103348562489864,6,0,0.4,0.4
"116",73,0.171765270588379,0.175924827512839,0.103149525009733,6,4,0.6,0.6
"117",40,0.171786377341204,0.183201170808371,0.108284614464244,12,2,0.8,0.4
"118",81,0.171816669340098,0.185331614346491,0.107768495017783,6,0,0.8,0.6
"119",30,0.171916365605614,0.169248335334978,0.101803024158255,8,6,0.6,0.4
"120",26,0.172023559890775,0.184883987283213,0.107687525730337,8,4,0.6,0.4
"121",129,0.172504744306994,0.156861276618192,0.108648491041922,6,0,0.8,0.8
"122",36,0.172716840919735,0.178730090336676,0.10842270282549,12,0,0.8,0.4
"123",133,0.172964623054707,0.189494461778324,0.107353327930858,6,2,0.8,0.8
"124",5,0.174175731507859,0.193577417818715,0.112157960170159,6,2,0.4,0.4
"125",65,0.174189399191209,0.167135334238839,0.116946310695644,6,0,0.6,0.6
"126",85,0.175441683790931,0.184103243359584,0.105139247099181,6,2,0.8,0.6
"127",43,0.176263391649462,0.180730149221879,0.106060404022231,10,4,0.8,0.4
"128",9,0.176501954827745,0.184692457837086,0.111114976052034,6,4,0.4,0.4
"129",47,0.176805548386437,0.205378868577068,0.110719829534793,10,6,0.8,0.4
"130",57,0.177213523612351,0.181598984468409,0.104917001241561,6,4,0.4,0.6
"131",34,0.179142996653355,0.173897631762717,0.115889366064564,8,0,0.8,0.4
"132",89,0.17948458040864,0.175958311722359,0.109812817759839,6,4,0.8,0.6
"133",69,0.17989973767708,0.181113959762077,0.100274432462753,6,2,0.6,0.6
"134",37,0.179991014143119,0.170401532368386,0.113633522944417,6,2,0.8,0.4
"135",46,0.180015302664988,0.175376395582027,0.112110899475483,8,6,0.8,0.4
"136",93,0.180295827254223,0.194276726712476,0.110246796225263,6,6,0.8,0.6
"137",42,0.180405055021405,0.200338013016282,0.113195548950273,8,4,0.8,0.4
"138",41,0.181528804370053,0.217623435764002,0.122011953382011,6,4,0.8,0.4
"139",17,0.184453531965255,0.177587874945594,0.114721020546301,6,0,0.6,0.4
"140",38,0.184628276543957,0.160982304311306,0.11491271834325,8,2,0.8,0.4
"141",25,0.185099836877264,0.170340743491647,0.114677871980611,6,4,0.6,0.4
"142",29,0.188330009790049,0.210712651186033,0.111798659235636,6,6,0.6,0.4
"143",45,0.189594714247132,0.206494494831681,0.121107929688213,6,6,0.8,0.4
"144",33,0.189873659266804,0.189504007373008,0.116939651404698,6,0,0.8,0.4
