"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.196318741038089,6,0,0.4,0.4
"2",0.262106075848967,8,0,0.4,0.4
"3",0.230871381143085,10,0,0.4,0.4
"4",0.143430467867733,12,0,0.4,0.4
"5",0.253732704563188,6,2,0.4,0.4
"6",0.239941768943065,8,2,0.4,0.4
"7",0.226178468781387,10,2,0.4,0.4
"8",0.224156148559996,12,2,0.4,0.4
"9",0.234206932890362,6,4,0.4,0.4
"10",0.216193503037886,8,4,0.4,0.4
"11",0.216156204824867,10,4,0.4,0.4
"12",0.209193763644645,12,4,0.4,0.4
"13",0.319461719524637,6,6,0.4,0.4
"14",0.212065335930944,8,6,0.4,0.4
"15",0.2361112963,10,6,0.4,0.4
"16",0.253956518514189,12,6,0.4,0.4
"17",0.307217801233897,6,0,0.6,0.4
"18",0.216078285886568,8,0,0.6,0.4
"19",0.241482061955537,10,0,0.6,0.4
"20",0.218730391051265,12,0,0.6,0.4
"21",0.309313305757724,6,2,0.6,0.4
"22",0.28632458230849,8,2,0.6,0.4
"23",0.27076180866144,10,2,0.6,0.4
"24",0.223701534714956,12,2,0.6,0.4
"25",0.284480657639102,6,4,0.6,0.4
"26",0.30895495232805,8,4,0.6,0.4
"27",0.23803611386056,10,4,0.6,0.4
"28",0.209291787358601,12,4,0.6,0.4
"29",0.277755625795951,6,6,0.6,0.4
"30",0.279488521177677,8,6,0.6,0.4
"31",0.256237589659376,10,6,0.6,0.4
"32",0.224333473974497,12,6,0.6,0.4
"33",0.285544219914506,6,0,0.8,0.4
"34",0.285450869564644,8,0,0.8,0.4
"35",0.234475626095863,10,0,0.8,0.4
"36",0.290185466110678,12,0,0.8,0.4
"37",0.31943431957983,6,2,0.8,0.4
"38",0.282308999339027,8,2,0.8,0.4
"39",0.283825353772276,10,2,0.8,0.4
"40",0.254011297196383,12,2,0.8,0.4
"41",0.32501954459814,6,4,0.8,0.4
"42",0.285390550351523,8,4,0.8,0.4
"43",0.262167520789656,10,4,0.8,0.4
"44",0.249790488786454,12,4,0.8,0.4
"45",0.313473872671947,6,6,0.8,0.4
"46",0.249205331465312,8,6,0.8,0.4
"47",0.300106413328482,10,6,0.8,0.4
"48",0.28544738938005,12,6,0.8,0.4
"49",0.237795224902354,6,0,0.4,0.6
"50",0.216276495045937,8,0,0.4,0.6
"51",0.158150505363637,10,0,0.4,0.6
"52",0.151574979133958,12,0,0.4,0.6
"53",0.228261898744258,6,2,0.4,0.6
"54",0.230272239134639,8,2,0.4,0.6
"55",0.21720486007953,10,2,0.4,0.6
"56",0.112824817712745,12,2,0.4,0.6
"57",0.261630290041305,6,4,0.4,0.6
"58",0.221084824790456,8,4,0.4,0.6
"59",0.178907374717607,10,4,0.4,0.6
"60",0.173146534953606,12,4,0.4,0.6
"61",0.255324631409532,6,6,0.4,0.6
"62",0.226834420768231,8,6,0.4,0.6
"63",0.234512594193486,10,6,0.4,0.6
"64",0.226332420068241,12,6,0.4,0.6
"65",0.246665897911513,6,0,0.6,0.6
"66",0.236553606218146,8,0,0.6,0.6
"67",0.169360339820458,10,0,0.6,0.6
"68",0.184888941519561,12,0,0.6,0.6
"69",0.269426597648877,6,2,0.6,0.6
"70",0.252540863271263,8,2,0.6,0.6
"71",0.197547284383806,10,2,0.6,0.6
"72",0.224659611101746,12,2,0.6,0.6
"73",0.287788376546081,6,4,0.6,0.6
"74",0.178674454735186,8,4,0.6,0.6
"75",0.161240874671407,10,4,0.6,0.6
"76",0.206146835897365,12,4,0.6,0.6
"77",0.263952271611792,6,6,0.6,0.6
"78",0.19996702708173,8,6,0.6,0.6
"79",0.217591547489791,10,6,0.6,0.6
"80",0.200346960768926,12,6,0.6,0.6
"81",0.266903805932063,6,0,0.8,0.6
"82",0.257793220499739,8,0,0.8,0.6
"83",0.22922398235414,10,0,0.8,0.6
"84",0.207267745718422,12,0,0.8,0.6
"85",0.264456930078335,6,2,0.8,0.6
"86",0.29547558316942,8,2,0.8,0.6
"87",0.21861233800561,10,2,0.8,0.6
"88",0.207960314174739,12,2,0.8,0.6
"89",0.2759287494735,6,4,0.8,0.6
"90",0.203127134426253,8,4,0.8,0.6
"91",0.275813098446531,10,4,0.8,0.6
"92",0.203177159826512,12,4,0.8,0.6
"93",0.274157916294142,6,6,0.8,0.6
"94",0.255003697507096,8,6,0.8,0.6
"95",0.206414235221684,10,6,0.8,0.6
"96",0.225369904317336,12,6,0.8,0.6
"97",0.226497701821756,6,0,0.4,0.8
"98",0.225444723988686,8,0,0.4,0.8
"99",0.200128611300205,10,0,0.4,0.8
"100",0.107220495538175,12,0,0.4,0.8
"101",0.191075983899235,6,2,0.4,0.8
"102",0.209669682014827,8,2,0.4,0.8
"103",0.132975979459785,10,2,0.4,0.8
"104",0.168165752541835,12,2,0.4,0.8
"105",0.207533778184091,6,4,0.4,0.8
"106",0.188229812523226,8,4,0.4,0.8
"107",0.13633338166085,10,4,0.4,0.8
"108",0.147219211192222,12,4,0.4,0.8
"109",0.198953028721631,6,6,0.4,0.8
"110",0.210595058983174,8,6,0.4,0.8
"111",0.13437509803722,10,6,0.4,0.8
"112",0.167178507794801,12,6,0.4,0.8
"113",0.261953727756675,6,0,0.6,0.8
"114",0.223549147533489,8,0,0.6,0.8
"115",0.182928211671867,10,0,0.6,0.8
"116",0.20488701891433,12,0,0.6,0.8
"117",0.227570502010831,6,2,0.6,0.8
"118",0.229577671893845,8,2,0.6,0.8
"119",0.199492204425732,10,2,0.6,0.8
"120",0.223143632458252,12,2,0.6,0.8
"121",0.259721394090209,6,4,0.6,0.8
"122",0.207675633333309,8,4,0.6,0.8
"123",0.161309945264383,10,4,0.6,0.8
"124",0.207891702607278,12,4,0.6,0.8
"125",0.228605728870449,6,6,0.6,0.8
"126",0.238745857549881,8,6,0.6,0.8
"127",0.205776718182235,10,6,0.6,0.8
"128",0.227470513232864,12,6,0.6,0.8
"129",0.263063984698588,6,0,0.8,0.8
"130",0.243484090571397,8,0,0.8,0.8
"131",0.241463249902162,10,0,0.8,0.8
"132",0.189160726043908,12,0,0.8,0.8
"133",0.237640334118724,6,2,0.8,0.8
"134",0.246749063544268,8,2,0.8,0.8
"135",0.263789505327937,10,2,0.8,0.8
"136",0.22713369752578,12,2,0.8,0.8
"137",0.27420417638829,6,4,0.8,0.8
"138",0.259963629292974,8,4,0.8,0.8
"139",0.198505272422991,10,4,0.8,0.8
"140",0.241599475345268,12,4,0.8,0.8
"141",0.269875871999069,6,6,0.8,0.8
"142",0.23840493819659,8,6,0.8,0.8
"143",0.245293052404062,10,6,0.8,0.8
"144",0.234690975065064,12,6,0.8,0.8
