"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.197777430095117,6,0,0.4,0.4
"2",0.181364705030072,8,0,0.4,0.4
"3",0.206909816865309,10,0,0.4,0.4
"4",0.189405705382631,12,0,0.4,0.4
"5",0.26667660621938,6,2,0.4,0.4
"6",0.198086839293788,8,2,0.4,0.4
"7",0.175417482677607,10,2,0.4,0.4
"8",0.156813186235528,12,2,0.4,0.4
"9",0.195760884854415,6,4,0.4,0.4
"10",0.114316880264761,8,4,0.4,0.4
"11",0.182153206597773,10,4,0.4,0.4
"12",0.120738563568648,12,4,0.4,0.4
"13",0.188233325551573,6,6,0.4,0.4
"14",0.177538014044046,8,6,0.4,0.4
"15",0.167572443002,10,6,0.4,0.4
"16",0.104173001902867,12,6,0.4,0.4
"17",0.208708669106327,6,0,0.6,0.4
"18",0.121398307719205,8,0,0.6,0.4
"19",0.126377822238168,10,0,0.6,0.4
"20",0.141855962216536,12,0,0.6,0.4
"21",0.171064615395719,6,2,0.6,0.4
"22",0.147636229568794,8,2,0.6,0.4
"23",0.199944418132239,10,2,0.6,0.4
"24",0.185251423753841,12,2,0.6,0.4
"25",0.263010888272144,6,4,0.6,0.4
"26",0.223001742950697,8,4,0.6,0.4
"27",0.159638057988667,10,4,0.6,0.4
"28",0.217989386630875,12,4,0.6,0.4
"29",0.233077503870692,6,6,0.6,0.4
"30",0.169248335334978,8,6,0.6,0.4
"31",0.204540582650454,10,6,0.6,0.4
"32",0.178499208072414,12,6,0.6,0.4
"33",0.231796343658293,6,0,0.8,0.4
"34",0.193421625705785,8,0,0.8,0.4
"35",0.123055494170393,10,0,0.8,0.4
"36",0.128833288758663,12,0,0.8,0.4
"37",0.182398460030662,6,2,0.8,0.4
"38",0.160982304311306,8,2,0.8,0.4
"39",0.178202520833756,10,2,0.8,0.4
"40",0.183201170808371,12,2,0.8,0.4
"41",0.246831709713837,6,4,0.8,0.4
"42",0.206330615623662,8,4,0.8,0.4
"43",0.232176760191949,10,4,0.8,0.4
"44",0.134942886618238,12,4,0.8,0.4
"45",0.207679549614008,6,6,0.8,0.4
"46",0.206571809021706,8,6,0.8,0.4
"47",0.219968861509457,10,6,0.8,0.4
"48",0.158029697155561,12,6,0.8,0.4
"49",0.125515909290934,6,0,0.4,0.6
"50",0.14478479408195,8,0,0.4,0.6
"51",0.0294667261212247,10,0,0.4,0.6
"52",0.0470708514783435,12,0,0.4,0.6
"53",0.146124969587748,6,2,0.4,0.6
"54",0.13570565002168,8,2,0.4,0.6
"55",0.124128866375757,10,2,0.4,0.6
"56",0.0113265482103809,12,2,0.4,0.6
"57",0.195237146032219,6,4,0.4,0.6
"58",0.137794730696209,8,4,0.4,0.6
"59",0.0930056547876717,10,4,0.4,0.6
"60",0.0852852225106898,12,4,0.4,0.6
"61",0.147698181921741,6,6,0.4,0.6
"62",0.108134052780531,8,6,0.4,0.6
"63",0.0912510199104537,10,6,0.4,0.6
"64",0.00419914176318419,12,6,0.4,0.6
"65",0.190583656171019,6,0,0.6,0.6
"66",0.122724684131171,8,0,0.6,0.6
"67",0.098527935050955,10,0,0.6,0.6
"68",0.118880256728008,12,0,0.6,0.6
