"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.119253904420797,4,0,0.6,0.6
"2",0.12447183078274,6,0,0.6,0.6
"3",0.130477089703199,8,0,0.6,0.6
"4",0.127200979033582,10,0,0.6,0.6
"5",0.131336007613566,4,0.05,0.6,0.6
"6",0.128233704995523,6,0.05,0.6,0.6
"7",0.129328645299061,8,0.05,0.6,0.6
"8",0.126073133962072,10,0.05,0.6,0.6
"9",0.122622100142653,4,0.1,0.6,0.6
"10",0.122045233753397,6,0.1,0.6,0.6
"11",0.124886363760428,8,0.1,0.6,0.6
"12",0.125658926732298,10,0.1,0.6,0.6
"13",0.126004618635121,4,0.15,0.6,0.6
"14",0.128340788341574,6,0.15,0.6,0.6
"15",0.125403975136811,8,0.15,0.6,0.6
"16",0.12332377516758,10,0.15,0.6,0.6
"17",0.123426618760078,4,0.2,0.6,0.6
"18",0.126385510133491,6,0.2,0.6,0.6
"19",0.126252041284558,8,0.2,0.6,0.6
"20",0.12997561406458,10,0.2,0.6,0.6
"21",0.122203191892097,4,0,0.8,0.6
"22",0.126666900802452,6,0,0.8,0.6
"23",0.119863027035207,8,0,0.8,0.6
"24",0.120548774689989,10,0,0.8,0.6
"25",0.125308899198225,4,0.05,0.8,0.6
"26",0.124161086817632,6,0.05,0.8,0.6
"27",0.118559397225591,8,0.05,0.8,0.6
"28",0.12693212305025,10,0.05,0.8,0.6
"29",0.121829387748022,4,0.1,0.8,0.6
"30",0.120356943269832,6,0.1,0.8,0.6
"31",0.12860030995722,8,0.1,0.8,0.6
"32",0.12712811366295,10,0.1,0.8,0.6
"33",0.128776330636789,4,0.15,0.8,0.6
"34",0.120759393666799,6,0.15,0.8,0.6
"35",0.127541586272116,8,0.15,0.8,0.6
"36",0.121059617965249,10,0.15,0.8,0.6
"37",0.123019371405075,4,0.2,0.8,0.6
"38",0.119623888640048,6,0.2,0.8,0.6
"39",0.121227547162491,8,0.2,0.8,0.6
"40",0.126347914032752,10,0.2,0.8,0.6
"41",0.124038242763961,4,0,1,0.6
"42",0.129463293016906,6,0,1,0.6
"43",0.126503676551411,8,0,1,0.6
"44",0.126480924112726,10,0,1,0.6
"45",0.121880417465235,4,0.05,1,0.6
"46",0.118158915857755,6,0.05,1,0.6
"47",0.129586901462496,8,0.05,1,0.6
"48",0.121109250497545,10,0.05,1,0.6
"49",0.119825368807259,4,0.1,1,0.6
"50",0.120810406023364,6,0.1,1,0.6
"51",0.12528594988368,8,0.1,1,0.6
"52",0.122980571121897,10,0.1,1,0.6
"53",0.126772772400461,4,0.15,1,0.6
"54",0.125626426348726,6,0.15,1,0.6
"55",0.124755361198725,8,0.15,1,0.6
"56",0.12567443503799,10,0.15,1,0.6
"57",0.122606291127351,4,0.2,1,0.6
"58",0.123991919683584,6,0.2,1,0.6
"59",0.127551792758393,8,0.2,1,0.6
"60",0.126102942051188,10,0.2,1,0.6
"61",0.126339637125259,4,0,0.6,0.8
"62",0.123625827188024,6,0,0.6,0.8
"63",0.126499967526515,8,0,0.6,0.8
"64",0.126711825127789,10,0,0.6,0.8
"65",0.123533381748561,4,0.05,0.6,0.8
"66",0.126195631091379,6,0.05,0.6,0.8
"67",0.127043109855968,8,0.05,0.6,0.8
"68",0.127723354712864,10,0.05,0.6,0.8
"69",0.130209027890277,4,0.1,0.6,0.8
"70",0.124941022006357,6,0.1,0.6,0.8
"71",0.122383582913093,8,0.1,0.6,0.8
"72",0.12386274789827,10,0.1,0.6,0.8
"73",0.116676604551396,4,0.15,0.6,0.8
"74",0.119664192698806,6,0.15,0.6,0.8
"75",0.120646024144196,8,0.15,0.6,0.8
"76",0.133180883310508,10,0.15,0.6,0.8
"77",0.125394323713053,4,0.2,0.6,0.8
"78",0.122164501905432,6,0.2,0.6,0.8
"79",0.119742674580128,8,0.2,0.6,0.8
"80",0.128822165668579,10,0.2,0.6,0.8
"81",0.124463533687849,4,0,0.8,0.8
"82",0.120098591123166,6,0,0.8,0.8
"83",0.124292041426436,8,0,0.8,0.8
"84",0.125542063627304,10,0,0.8,0.8
"85",0.121529187736267,4,0.05,0.8,0.8
"86",0.124164775734889,6,0.05,0.8,0.8
"87",0.126906158000127,8,0.05,0.8,0.8
"88",0.127480430721442,10,0.05,0.8,0.8
"89",0.119815863100874,4,0.1,0.8,0.8
"90",0.124209244591439,6,0.1,0.8,0.8
"91",0.12317268771012,8,0.1,0.8,0.8
"92",0.125572391500991,10,0.1,0.8,0.8
"93",0.127531004108223,4,0.15,0.8,0.8
"94",0.120407000569133,6,0.15,0.8,0.8
"95",0.124294809136517,8,0.15,0.8,0.8
"96",0.122743919770119,10,0.15,0.8,0.8
"97",0.119928490572743,4,0.2,0.8,0.8
"98",0.119822125373506,6,0.2,0.8,0.8
"99",0.127546513737267,8,0.2,0.8,0.8
"100",0.123305120062007,10,0.2,0.8,0.8
"101",0.123783115030793,4,0,1,0.8
"102",0.121803467205359,6,0,1,0.8
"103",0.12677757113096,8,0,1,0.8
"104",0.121034326104718,10,0,1,0.8
"105",0.124013346993828,4,0.05,1,0.8
"106",0.122293689393609,6,0.05,1,0.8
"107",0.125502678846885,8,0.05,1,0.8
"108",0.127862626239159,10,0.05,1,0.8
"109",0.120289536764397,4,0.1,1,0.8
"110",0.122765838252096,6,0.1,1,0.8
"111",0.123895100169315,8,0.1,1,0.8
"112",0.12924641300536,10,0.1,1,0.8
"113",0.12083962585667,4,0.15,1,0.8
"114",0.120410123518428,6,0.15,1,0.8
"115",0.123790927890499,8,0.15,1,0.8
"116",0.130364587804162,10,0.15,1,0.8
"117",0.119716299753719,4,0.2,1,0.8
"118",0.122922100611284,6,0.2,1,0.8
"119",0.121529340195696,8,0.2,1,0.8
"120",0.127517735472002,10,0.2,1,0.8
"121",0.132247390503215,4,0,0.6,1
"122",0.120809124706946,6,0,0.6,1
"123",0.127181185302672,8,0,0.6,1
"124",0.119911924780533,10,0,0.6,1
"125",0.130493933325938,4,0.05,0.6,1
"126",0.121961133624303,6,0.05,0.6,1
"127",0.122707546865283,8,0.05,0.6,1
"128",0.127928747507466,10,0.05,0.6,1
"129",0.127278086378566,4,0.1,0.6,1
"130",0.121524247047386,6,0.1,0.6,1
"131",0.126860056884248,8,0.1,0.6,1
"132",0.119347548984771,10,0.1,0.6,1
"133",0.123715891049863,4,0.15,0.6,1
"134",0.12288328818966,6,0.15,0.6,1
"135",0.120305084005266,8,0.15,0.6,1
"136",0.122068197828668,10,0.15,0.6,1
"137",0.124494273290009,4,0.2,0.6,1
"138",0.117530841179901,6,0.2,0.6,1
"139",0.12498379514809,8,0.2,0.6,1
"140",0.13036024413532,10,0.2,0.6,1
"141",0.122297480173958,4,0,0.8,1
"142",0.125207860960684,6,0,0.8,1
"143",0.120780116715075,8,0,0.8,1
"144",0.118795368779173,10,0,0.8,1
"145",0.127240927547831,4,0.05,0.8,1
"146",0.12391371183244,6,0.05,0.8,1
"147",0.119338173860569,8,0.05,0.8,1
"148",0.125534950755743,10,0.05,0.8,1
"149",0.122285968782648,4,0.1,0.8,1
"150",0.125703095428681,6,0.1,0.8,1
"151",0.121461219655543,8,0.1,0.8,1
"152",0.124646836111729,10,0.1,0.8,1
"153",0.121593921127435,4,0.15,0.8,1
"154",0.120350361773598,6,0.15,0.8,1
"155",0.12380809326954,8,0.15,0.8,1
"156",0.124067335800223,10,0.15,0.8,1
"157",0.127746414438566,4,0.2,0.8,1
"158",0.12326265220026,6,0.2,0.8,1
"159",0.126582343603236,8,0.2,0.8,1
"160",0.121402458228547,10,0.2,0.8,1
"161",0.12116382938576,4,0,1,1
"162",0.122783141417445,6,0,1,1
"163",0.127389977146607,8,0,1,1
"164",0.12453244702254,10,0,1,1
"165",0.12116382938576,4,0.05,1,1
"166",0.122783141417445,6,0.05,1,1
"167",0.127389977146607,8,0.05,1,1
"168",0.12453244702254,10,0.05,1,1
"169",0.12116382938576,4,0.1,1,1
"170",0.122783141417445,6,0.1,1,1
"171",0.127389977146607,8,0.1,1,1
"172",0.12453244702254,10,0.1,1,1
"173",0.12116382938576,4,0.15,1,1
"174",0.122783141417445,6,0.15,1,1
"175",0.127389977146607,8,0.15,1,1
"176",0.12453244702254,10,0.15,1,1
"177",0.12116382938576,4,0.2,1,1
"178",0.122783141417445,6,0.2,1,1
"179",0.127389977146607,8,0.2,1,1
"180",0.124532450580605,10,0.2,1,1
