"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.108986444974614,4,0,0.6,0.6
"2",0.111106306763438,6,0,0.6,0.6
"3",0.115765903312048,8,0,0.6,0.6
"4",0.117144853230983,10,0,0.6,0.6
"5",0.115064140636632,4,0.05,0.6,0.6
"6",0.110406282292408,6,0.05,0.6,0.6
"7",0.116717067630764,8,0.05,0.6,0.6
"8",0.1165343623029,10,0.05,0.6,0.6
"9",0.111175156136499,4,0.1,0.6,0.6
"10",0.110954924372237,6,0.1,0.6,0.6
"11",0.112664572901906,8,0.1,0.6,0.6
"12",0.123765669672584,10,0.1,0.6,0.6
"13",0.111073783546765,4,0.15,0.6,0.6
"14",0.111240021360686,6,0.15,0.6,0.6
"15",0.117147484608251,8,0.15,0.6,0.6
"16",0.118628491450574,10,0.15,0.6,0.6
"17",0.110563136215974,4,0.2,0.6,0.6
"18",0.119616179226989,6,0.2,0.6,0.6
"19",0.109974960974032,8,0.2,0.6,0.6
"20",0.121306453242376,10,0.2,0.6,0.6
"21",0.114298031557345,4,0,0.8,0.6
"22",0.113770384234917,6,0,0.8,0.6
"23",0.116112884471819,8,0,0.8,0.6
"24",0.117286341859449,10,0,0.8,0.6
"25",0.10952445460663,4,0.05,0.8,0.6
"26",0.10618213541243,6,0.05,0.8,0.6
"27",0.116379432464528,8,0.05,0.8,0.6
"28",0.114283957105747,10,0.05,0.8,0.6
"29",0.108241585418842,4,0.1,0.8,0.6
"30",0.114693530601156,6,0.1,0.8,0.6
"31",0.114519615999364,8,0.1,0.8,0.6
"32",0.117724558122096,10,0.1,0.8,0.6
"33",0.111293922480944,4,0.15,0.8,0.6
"34",0.112654624529884,6,0.15,0.8,0.6
"35",0.118002980720446,8,0.15,0.8,0.6
"36",0.115230810335914,10,0.15,0.8,0.6
"37",0.114805975450569,4,0.2,0.8,0.6
"38",0.111891110593246,6,0.2,0.8,0.6
"39",0.118397366969992,8,0.2,0.8,0.6
"40",0.119351800765375,10,0.2,0.8,0.6
"41",0.112747150028181,4,0,1,0.6
"42",0.113139501104109,6,0,1,0.6
"43",0.118719625751777,8,0,1,0.6
"44",0.120539600066497,10,0,1,0.6
"45",0.110259760319949,4,0.05,1,0.6
"46",0.114325856151291,6,0.05,1,0.6
"47",0.119015750668056,8,0.05,1,0.6
"48",0.118310890876839,10,0.05,1,0.6
"49",0.113197919501817,4,0.1,1,0.6
"50",0.116859296839198,6,0.1,1,0.6
"51",0.113469007709768,8,0.1,1,0.6
"52",0.119881312100167,10,0.1,1,0.6
"53",0.116491695706256,4,0.15,1,0.6
"54",0.116235837212722,6,0.15,1,0.6
"55",0.119693145962602,8,0.15,1,0.6
"56",0.116371663261111,10,0.15,1,0.6
"57",0.112005338269196,4,0.2,1,0.6
"58",0.116415898790927,6,0.2,1,0.6
"59",0.112783541126424,8,0.2,1,0.6
"60",0.117413116108243,10,0.2,1,0.6
"61",0.109393277939912,4,0,0.6,0.8
"62",0.113276549528689,6,0,0.6,0.8
"63",0.115923149161277,8,0,0.6,0.8
"64",0.121248836607015,10,0,0.6,0.8
"65",0.111501981180826,4,0.05,0.6,0.8
"66",0.112192605984098,6,0.05,0.6,0.8
"67",0.116162087833198,8,0.05,0.6,0.8
"68",0.116749593992618,10,0.05,0.6,0.8
"69",0.109446913200411,4,0.1,0.6,0.8
"70",0.11019438961465,6,0.1,0.6,0.8
"71",0.115031456074933,8,0.1,0.6,0.8
"72",0.113547065887575,10,0.1,0.6,0.8
"73",0.110992410720229,4,0.15,0.6,0.8
"74",0.114436465326775,6,0.15,0.6,0.8
"75",0.118106908819185,8,0.15,0.6,0.8
"76",0.119349688349569,10,0.15,0.6,0.8
