"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.0530077789533187,6,0,0.4,0.4
"2",0.0203559413627877,8,0,0.4,0.4
"3",0.0800036960499413,10,0,0.4,0.4
"4",0.0202269507778765,12,0,0.4,0.4
"5",0.0105783159161276,6,2,0.4,0.4
"6",0.0550261114013735,8,2,0.4,0.4
"7",0.00965293399931483,10,2,0.4,0.4
"8",0.0496081564713832,12,2,0.4,0.4
"9",0.0527695619835377,6,4,0.4,0.4
"10",0.0389349702194181,8,4,0.4,0.4
"11",0.0471255238219195,10,4,0.4,0.4
"12",0.00124429893092869,12,4,0.4,0.4
"13",0.0133675330653476,6,6,0.4,0.4
"14",0.0591552792394681,8,6,0.4,0.4
"15",0.00794770736447602,10,6,0.4,0.4
"16",0.00044842112989924,12,6,0.4,0.4
"17",0.0099344732112921,6,0,0.6,0.4
"18",0.0250402679269317,8,0,0.6,0.4
"19",0.0313183562339912,10,0,0.6,0.4
"20",0.00529463880319103,12,0,0.6,0.4
"21",0.0360641220256443,6,2,0.6,0.4
"22",0.0183179712711856,8,2,0.6,0.4
"23",0.0169132083189823,10,2,0.6,0.4
"24",0.00982461893939681,12,2,0.6,0.4
"25",0.0288352881244125,6,4,0.6,0.4
"26",0.0303082106342784,8,4,0.6,0.4
"27",0.0224359613272298,10,4,0.6,0.4
"28",0.0571085566163955,12,4,0.6,0.4
"29",0.00371306243881883,6,6,0.6,0.4
"30",0.0190107340401324,8,6,0.6,0.4
"31",0.0423649343953892,10,6,0.6,0.4
"32",0.0212802199865131,12,6,0.6,0.4
"33",0.0109557412953157,6,0,0.8,0.4
"34",0.0147397371115101,8,0,0.8,0.4
"35",0.0401967711632188,10,0,0.8,0.4
"36",0.00974413937604383,12,0,0.8,0.4
"37",0.0132448199517616,6,2,0.8,0.4
"38",0.0252813741134816,8,2,0.8,0.4
"39",0.00751545401933424,10,2,0.8,0.4
"40",0.0518087994443602,12,2,0.8,0.4
"41",0.00723930135429587,6,4,0.8,0.4
"42",0.0256692379014861,8,4,0.8,0.4
"43",0.0261512438818722,10,4,0.8,0.4
"44",0.000402441629900925,12,4,0.8,0.4
"45",0.00140088848809801,6,6,0.8,0.4
"46",0.0142823665106747,8,6,0.8,0.4
"47",0.00685699274906131,10,6,0.8,0.4
"48",0.0259022284912961,12,6,0.8,0.4
"49",0.0166428504384188,6,0,0.4,0.6
"50",0.00729468453125647,8,0,0.4,0.6
"51",0.0246879837500853,10,0,0.4,0.6
"52",0.0219654705706503,12,0,0.4,0.6
"53",0.00431077586212758,6,2,0.4,0.6
"54",0.0539906044900207,8,2,0.4,0.6
"55",0.00201589431754885,10,2,0.4,0.6
"56",0.0315762125168669,12,2,0.4,0.6
"57",0.0284299639711925,6,4,0.4,0.6
"58",0.0112120279169352,8,4,0.4,0.6
"59",0.0408124251465469,10,4,0.4,0.6
"60",0.0215715352208195,12,4,0.4,0.6
"61",0.0255911926141555,6,6,0.4,0.6
"62",0.0287503299459387,8,6,0.4,0.6
"63",0.0146122941720304,10,6,0.4,0.6
"64",0.0143819298257117,12,6,0.4,0.6
"65",0.0125892865249629,6,0,0.6,0.6
"66",0.032229788292096,8,0,0.6,0.6
"67",0.0355452247080343,10,0,0.6,0.6
"68",0.0220020489832148,12,0,0.6,0.6
"69",0.044528860891055,6,2,0.6,0.6
"70",0.00130057783652629,8,2,0.6,0.6
"71",0.00415063128424579,10,2,0.6,0.6
"72",0.00264853966944341,12,2,0.6,0.6
"73",0.0242611402497347,6,4,0.6,0.6
"74",0.0190768208315399,8,4,0.6,0.6
"75",0.00688237106929172,10,4,0.6,0.6
"76",0.0235428875501444,12,4,0.6,0.6
"77",0.00436447924154829,6,6,0.6,0.6
"78",0.00746823886810297,8,6,0.6,0.6
"79",0.0521299567057751,10,6,0.6,0.6
"80",0.0136497258102264,12,6,0.6,0.6
"81",4.56194707998292e-05,6,0,0.8,0.6
"82",0.0354275707294869,8,0,0.8,0.6
"83",0.0219505633025872,10,0,0.8,0.6
"84",0.0498347828987909,12,0,0.8,0.6
"85",0.0126071772791071,6,2,0.8,0.6
