"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.337067840199011,4,0,0.4,0.4
"2",0.254601363292444,6,0,0.4,0.4
"3",0.264157398567006,8,0,0.4,0.4
"4",0.213583448118025,10,0,0.4,0.4
"5",0.26971758719425,12,0,0.4,0.4
"6",0.310326582053718,4,2,0.4,0.4
"7",0.227951654535895,6,2,0.4,0.4
"8",0.282492194519403,8,2,0.4,0.4
"9",0.289670857372287,10,2,0.4,0.4
"10",0.213564801528672,12,2,0.4,0.4
"11",0.345698855965423,4,4,0.4,0.4
"12",0.289231783558014,6,4,0.4,0.4
"13",0.167476111072522,8,4,0.4,0.4
"14",0.224647096849428,10,4,0.4,0.4
"15",0.235205098710332,12,4,0.4,0.4
"16",0.307734878556263,4,6,0.4,0.4
"17",0.226339198294774,6,6,0.4,0.4
"18",0.312653314263604,8,6,0.4,0.4
"19",0.249094789547987,10,6,0.4,0.4
"20",0.223651377662054,12,6,0.4,0.4
"21",0.273909348933172,4,0,0.6,0.4
"22",0.274084233186214,6,0,0.6,0.4
"23",0.247811601449161,8,0,0.6,0.4
"24",0.292599147078748,10,0,0.6,0.4
"25",0.267656277143709,12,0,0.6,0.4
"26",0.273041239441721,4,2,0.6,0.4
"27",0.255910073866093,6,2,0.6,0.4
"28",0.266361844282273,8,2,0.6,0.4
"29",0.200941162488868,10,2,0.6,0.4
"30",0.246497095572651,12,2,0.6,0.4
"31",0.323543643933809,4,4,0.6,0.4
"32",0.336934696226716,6,4,0.6,0.4
"33",0.233353310476324,8,4,0.6,0.4
"34",0.212994516371184,10,4,0.6,0.4
"35",0.251196712720318,12,4,0.6,0.4
"36",0.295400078306725,4,6,0.6,0.4
"37",0.275175257115372,6,6,0.6,0.4
"38",0.267246871879433,8,6,0.6,0.4
"39",0.214106325748227,10,6,0.6,0.4
"40",0.271914575112186,12,6,0.6,0.4
"41",0.302191071438951,4,0,0.8,0.4
"42",0.276331966186612,6,0,0.8,0.4
"43",0.279993893667876,8,0,0.8,0.4
"44",0.246690417448563,10,0,0.8,0.4
"45",0.245812120409914,12,0,0.8,0.4
"46",0.310141362397106,4,2,0.8,0.4
"47",0.284580412805872,6,2,0.8,0.4
"48",0.32256527611094,8,2,0.8,0.4
"49",0.278869819201796,10,2,0.8,0.4
"50",0.28104299116115,12,2,0.8,0.4
"51",0.263293948325655,4,4,0.8,0.4
"52",0.292160206547388,6,4,0.8,0.4
"53",0.32043672826743,8,4,0.8,0.4
"54",0.277278918824531,10,4,0.8,0.4
"55",0.278902064134155,12,4,0.8,0.4
"56",0.326696397629646,4,6,0.8,0.4
"57",0.285468478043126,6,6,0.8,0.4
"58",0.283148558691535,8,6,0.8,0.4
"59",0.269773163170956,10,6,0.8,0.4
"60",0.244720495993469,12,6,0.8,0.4
"61",0.288960809123357,4,0,0.4,0.6
"62",0.255712566226738,6,0,0.4,0.6
"63",0.155498409128713,8,0,0.4,0.6
"64",0.167998594914342,10,0,0.4,0.6
"65",0.163746084691717,12,0,0.4,0.6
"66",0.362922521178341,4,2,0.4,0.6
"67",0.263886752346107,6,2,0.4,0.6
"68",0.22596329245816,8,2,0.4,0.6
"69",0.143538787614073,10,2,0.4,0.6
"70",0.184557153206109,12,2,0.4,0.6
"71",0.323519083704076,4,4,0.4,0.6
"72",0.275585201322561,6,4,0.4,0.6
"73",0.19366001648339,8,4,0.4,0.6
"74",0.187009817373996,10,4,0.4,0.6
"75",0.103211585752093,12,4,0.4,0.6
"76",0.316200986791359,4,6,0.4,0.6
"77",0.275800141537208,6,6,0.4,0.6
"78",0.266397803593104,8,6,0.4,0.6
"79",0.220019083078243,10,6,0.4,0.6
"80",0.173070736956145,12,6,0.4,0.6
"81",0.243664068713151,4,0,0.6,0.6
"82",0.276999841493445,6,0,0.6,0.6
"83",0.253737562622925,8,0,0.6,0.6
"84",0.240814264177178,10,0,0.6,0.6
"85",0.200007294378434,12,0,0.6,0.6
"86",0.266977117048336,4,2,0.6,0.6
"87",0.281597330765523,6,2,0.6,0.6
"88",0.224362073951913,8,2,0.6,0.6
"89",0.222464672512952,10,2,0.6,0.6
"90",0.162718314606184,12,2,0.6,0.6
"91",0.293346546966374,4,4,0.6,0.6
"92",0.286693537278061,6,4,0.6,0.6
"93",0.247067720557962,8,4,0.6,0.6
"94",0.175485860856603,10,4,0.6,0.6
"95",0.24078989063976,12,4,0.6,0.6
"96",0.279019928532825,4,6,0.6,0.6
"97",0.278035848001309,6,6,0.6,0.6
"98",0.185714711012751,8,6,0.6,0.6
"99",0.207678867471126,10,6,0.6,0.6
"100",0.278594189875716,12,6,0.6,0.6
"101",0.322214783750814,4,0,0.8,0.6
"102",0.276666071852602,6,0,0.8,0.6
"103",0.303965662627186,8,0,0.8,0.6
"104",0.28063659571492,10,0,0.8,0.6
"105",0.231395404296614,12,0,0.8,0.6
"106",0.294025103179855,4,2,0.8,0.6
"107",0.292086488280128,6,2,0.8,0.6
"108",0.297524651198541,8,2,0.8,0.6
"109",0.270849973693422,10,2,0.8,0.6
"110",0.245608565506793,12,2,0.8,0.6
"111",0.289888551992157,4,4,0.8,0.6
"112",0.273702949002296,6,4,0.8,0.6
"113",0.299037183249203,8,4,0.8,0.6
"114",0.254065834302677,10,4,0.8,0.6
"115",0.248648638965783,12,4,0.8,0.6
"116",0.25280899079563,4,6,0.8,0.6
"117",0.32081261990966,6,6,0.8,0.6
"118",0.27440099738227,8,6,0.8,0.6
"119",0.243987524655609,10,6,0.8,0.6
"120",0.24096720233094,12,6,0.8,0.6
"121",0.273297086250843,4,0,0.4,0.8
"122",0.273911578727864,6,0,0.4,0.8
"123",0.207710561303251,8,0,0.4,0.8
"124",0.176785290896177,10,0,0.4,0.8
"125",0.183136467978798,12,0,0.4,0.8
"126",0.317113516771092,4,2,0.4,0.8
"127",0.227409526856043,6,2,0.4,0.8
"128",0.190066131828008,8,2,0.4,0.8
"129",0.132797143507061,10,2,0.4,0.8
"130",0.192058924770519,12,2,0.4,0.8
"131",0.295382211636348,4,4,0.4,0.8
