"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.0255567133628443,4,0,0.4,0.4
"2",0.0224886861035719,6,0,0.4,0.4
"3",0.0240907840648271,8,0,0.4,0.4
"4",0.0608497506623234,10,0,0.4,0.4
"5",0.00501629902753174,12,0,0.4,0.4
"6",0.0799341155748197,4,2,0.4,0.4
"7",0.0227642033696347,6,2,0.4,0.4
"8",0.0693324926706858,8,2,0.4,0.4
"9",0.0684494469600499,10,2,0.4,0.4
"10",0.0401675844518946,12,2,0.4,0.4
"11",0.0164492406266459,4,4,0.4,0.4
"12",0.0270079799429746,6,4,0.4,0.4
"13",0.00819482295010639,8,4,0.4,0.4
"14",0.0641421652015392,10,4,0.4,0.4
"15",0.0146971809832182,12,4,0.4,0.4
"16",0.0107661387396969,4,6,0.4,0.4
"17",0.00186423203037266,6,6,0.4,0.4
"18",0.044927365336459,8,6,0.4,0.4
"19",0.0490418985889209,10,6,0.4,0.4
"20",0.0369244543700397,12,6,0.4,0.4
"21",0.0246806711825242,4,0,0.6,0.4
"22",0.0647219387520282,6,0,0.6,0.4
"23",0.00844326865986287,8,0,0.6,0.4
"24",0.0364453019063256,10,0,0.6,0.4
"25",0.0551976080438728,12,0,0.6,0.4
"26",0.0254260626998549,4,2,0.6,0.4
"27",0.0330663182855865,6,2,0.6,0.4
"28",0.0156631861568578,8,2,0.6,0.4
"29",0.0294390403033799,10,2,0.6,0.4
"30",0.0232527795010585,12,2,0.6,0.4
"31",0.0334631151364171,4,4,0.6,0.4
"32",0.00204094847891148,6,4,0.6,0.4
"33",0.0108146994863087,8,4,0.6,0.4
"34",0.0142158561012358,10,4,0.6,0.4
"35",0.00501470706302542,12,4,0.6,0.4
"36",0.0432976339986981,4,6,0.6,0.4
"37",0.0156822361997272,6,6,0.6,0.4
"38",0.000529303985236229,8,6,0.6,0.4
"39",0.0448126072593385,10,6,0.6,0.4
"40",0.0220259148567094,12,6,0.6,0.4
"41",0.0813202382433895,4,0,0.8,0.4
"42",0.0308045794377864,6,0,0.8,0.4
"43",0.00587196290862066,8,0,0.8,0.4
"44",0.00651573754906478,10,0,0.8,0.4
"45",0.0537690960843225,12,0,0.8,0.4
"46",0.0739854228299963,4,2,0.8,0.4
"47",0.0341316692254105,6,2,0.8,0.4
"48",0.036546345439101,8,2,0.8,0.4
"49",0.0278986504423521,10,2,0.8,0.4
"50",0.0289046923016363,12,2,0.8,0.4
"51",0.0823308217592513,4,4,0.8,0.4
"52",0.0638191910572078,6,4,0.8,0.4
"53",0.0257294200298712,8,4,0.8,0.4
"54",0.0233227465141156,10,4,0.8,0.4
"55",0.0695450464309347,12,4,0.8,0.4
"56",0.0659796364823064,4,6,0.8,0.4
"57",0.0541891914345273,6,6,0.8,0.4
"58",0.0153257219201718,8,6,0.8,0.4
"59",0.0110029334566868,10,6,0.8,0.4
"60",0.018754624571573,12,6,0.8,0.4
"61",0.0200894876476996,4,0,0.4,0.6
"62",0.0260900469782772,6,0,0.4,0.6
"63",0.0030415513994462,8,0,0.4,0.6
"64",0.0464319130383323,10,0,0.4,0.6
"65",0.0640042549040469,12,0,0.4,0.6
"66",0.0140089756659662,4,2,0.4,0.6
"67",0.0127158304241973,6,2,0.4,0.6
"68",0.0221268876613629,8,2,0.4,0.6
"69",0.0298783671023019,10,2,0.4,0.6
"70",0.0639146433977371,12,2,0.4,0.6
"71",0.0712792127125178,4,4,0.4,0.6
"72",0.000287592041989564,6,4,0.4,0.6
"73",0.0261325245893409,8,4,0.4,0.6
"74",0.014934268275184,10,4,0.4,0.6
"75",0.0964573213921242,12,4,0.4,0.6
"76",0.0111003897055717,4,6,0.4,0.6
"77",0.0123259092978037,6,6,0.4,0.6
"78",0.0223134967523012,8,6,0.4,0.6
"79",0.0625936068164386,10,6,0.4,0.6
"80",0.0701513922137075,12,6,0.4,0.6
"81",0.0304617361953291,4,0,0.6,0.6
"82",0.00434861333131236,6,0,0.6,0.6
"83",0.027607532759163,8,0,0.6,0.6
"84",0.0285001566453327,10,0,0.6,0.6
"85",0.00770238639819021,12,0,0.6,0.6
"86",0.0660030751905963,4,2,0.6,0.6
"87",0.0217881966602295,6,2,0.6,0.6
"88",0.0282986055453207,8,2,0.6,0.6
"89",0.0210595186584479,10,2,0.6,0.6
"90",0.0126507231661918,12,2,0.6,0.6
"91",0.068162960156847,4,4,0.6,0.6
"92",0.0171087660331712,6,4,0.6,0.6
"93",0.0125992713466804,8,4,0.6,0.6
"94",0.0453745836914857,10,4,0.6,0.6
"95",0.0272644502724779,12,4,0.6,0.6
"96",0.02485748358978,4,6,0.6,0.6
"97",0.0318278193187133,6,6,0.6,0.6
"98",0.01435009422634,8,6,0.6,0.6
"99",0.0329667305007304,10,6,0.6,0.6
"100",0.0326116415690591,12,6,0.6,0.6
"101",0.0926843231986927,4,0,0.8,0.6
"102",0.0475447348567005,6,0,0.8,0.6
"103",0.0208052924709679,8,0,0.8,0.6
"104",0.0113507938624524,10,0,0.8,0.6
"105",0.0197763577779726,12,0,0.8,0.6
"106",0.0897570460104434,4,2,0.8,0.6
"107",0.0501509566517882,6,2,0.8,0.6
"108",0.00842719640348111,8,2,0.8,0.6
"109",0.00651140346676305,10,2,0.8,0.6
"110",0.0324636381785673,12,2,0.8,0.6
"111",0.0989763785084447,4,4,0.8,0.6
"112",0.0568450941072527,6,4,0.8,0.6
"113",0.0368057322321343,8,4,0.8,0.6
"114",0.064215100506531,10,4,0.8,0.6
"115",0.0837904551976329,12,4,0.8,0.6
"116",0.0474029509810935,4,6,0.8,0.6
"117",0.05881908320163,6,6,0.8,0.6
"118",0.00387851263306063,8,6,0.8,0.6
"119",0.0438842056114138,10,6,0.8,0.6
"120",0.021145742916202,12,6,0.8,0.6
"121",5.77347303310426e-05,4,0,0.4,0.8
"122",0.0186678383015875,6,0,0.4,0.8
"123",0.0365106388919953,8,0,0.4,0.8
"124",0.0373380326731719,10,0,0.4,0.8
"125",0.106898857840408,12,0,0.4,0.8
"126",0.0136693576556479,4,2,0.4,0.8
"127",0.03743432956404,6,2,0.4,0.8
"128",0.0430331145386989,8,2,0.4,0.8
"129",0.0778520748288012,10,2,0.4,0.8
"130",0.0524573569368982,12,2,0.4,0.8
"131",0.033293976128061,4,4,0.4,0.8
"132",0.0127299456230696,6,4,0.4,0.8
"133",0.0288791738087933,8,4,0.4,0.8
"134",0.0499151520426375,10,4,0.4,0.8
"135",0.0309794486399457,12,4,0.4,0.8
"136",0.00240910589360025,4,6,0.4,0.8
"137",0.0104263152855974,6,6,0.4,0.8
"138",0.0137273045010955,8,6,0.4,0.8
"139",0.032636440063121,10,6,0.4,0.8
"140",0.0435188394885562,12,6,0.4,0.8
"141",0.0640780423368506,4,0,0.6,0.8
"142",0.0259349347158964,6,0,0.6,0.8
"143",0.0301819817603542,8,0,0.6,0.8
"144",0.0773902678014769,10,0,0.6,0.8
"145",0.0139203766492596,12,0,0.6,0.8
"146",0.0717581926912005,4,2,0.6,0.8
"147",0.0464193473422919,6,2,0.6,0.8
"148",0.0406006220250775,8,2,0.6,0.8
"149",0.0219473062023568,10,2,0.6,0.8
"150",0.00275987410010698,12,2,0.6,0.8
"151",0.0505145329305336,4,4,0.6,0.8
"152",0.0440163817217907,6,4,0.6,0.8
"153",0.0145087078175811,8,4,0.6,0.8
"154",0.0787313295445547,10,4,0.6,0.8
"155",0.0674187971183637,12,4,0.6,0.8
"156",0.0470858440688275,4,6,0.6,0.8
"157",0.0498413943886506,6,6,0.6,0.8
"158",0.0489257140190429,8,6,0.6,0.8
"159",0.0251576654443879,10,6,0.6,0.8
"160",0.0276180427202631,12,6,0.6,0.8
"161",0.0887045826448088,4,0,0.8,0.8
"162",0.0668642946356438,6,0,0.8,0.8
"163",0.00368822708102066,8,0,0.8,0.8
"164",0.0413994252702369,10,0,0.8,0.8
"165",0.0320671476265485,12,0,0.8,0.8
"166",0.105543398569008,4,2,0.8,0.8
"167",0.0929410152338336,6,2,0.8,0.8
"168",0.000645173205850907,8,2,0.8,0.8
"169",0.0180029561870045,10,2,0.8,0.8
"170",0.074431020013657,12,2,0.8,0.8
"171",0.130857136534213,4,4,0.8,0.8
"172",0.0555913792865888,6,4,0.8,0.8
"173",0.0134262011310899,8,4,0.8,0.8
"174",0.0493456683269947,10,4,0.8,0.8
"175",0.0552174393348026,12,4,0.8,0.8
"176",0.102616567176486,4,6,0.8,0.8
"177",0.0340793513874754,6,6,0.8,0.8
"178",0.025342134899497,8,6,0.8,0.8
"179",0.0129416211060452,10,6,0.8,0.8
"180",0.0245468189140413,12,6,0.8,0.8
