"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.309022781341235,4,0,0.4,0.4
"2",0.263368586673785,6,0,0.4,0.4
"3",0.262839636606781,8,0,0.4,0.4
"4",0.12651295918841,10,0,0.4,0.4
"5",0.189644268552169,12,0,0.4,0.4
"6",0.293937067069633,4,2,0.4,0.4
"7",0.236910677153587,6,2,0.4,0.4
"8",0.204630700854748,8,2,0.4,0.4
"9",0.242152868200239,10,2,0.4,0.4
"10",0.168600687580683,12,2,0.4,0.4
"11",0.229211971771689,4,4,0.4,0.4
"12",0.314323170300333,6,4,0.4,0.4
"13",0.207947627596824,8,4,0.4,0.4
"14",0.173512578318485,10,4,0.4,0.4
"15",0.180197191424573,12,4,0.4,0.4
"16",0.285602217707149,4,6,0.4,0.4
"17",0.258068954964695,6,6,0.4,0.4
"18",0.202666213305382,8,6,0.4,0.4
"19",0.167282901880477,10,6,0.4,0.4
"20",0.186731166568348,12,6,0.4,0.4
"21",0.283546983717192,4,0,0.6,0.4
"22",0.239745441278734,6,0,0.6,0.4
"23",0.23661618673611,8,0,0.6,0.4
"24",0.21272448360437,10,0,0.6,0.4
"25",0.175806357711334,12,0,0.6,0.4
"26",0.281098782290578,4,2,0.6,0.4
"27",0.268495981694156,6,2,0.6,0.4
"28",0.236993783174262,8,2,0.6,0.4
"29",0.204059005410151,10,2,0.6,0.4
"30",0.232960399668297,12,2,0.6,0.4
"31",0.281118564313885,4,4,0.6,0.4
"32",0.234977275769448,6,4,0.6,0.4
"33",0.258820851854157,8,4,0.6,0.4
"34",0.228726577720852,10,4,0.6,0.4
"35",0.224277324758783,12,4,0.6,0.4
"36",0.304969349730435,4,6,0.6,0.4
"37",0.231721454342485,6,6,0.6,0.4
"38",0.238059069415692,8,6,0.6,0.4
"39",0.185642075432127,10,6,0.6,0.4
"40",0.216787076537978,12,6,0.6,0.4
"41",0.311097661673415,4,0,0.8,0.4
"42",0.314768237236047,6,0,0.8,0.4
"43",0.272734225384216,8,0,0.8,0.4
"44",0.228620833640175,10,0,0.8,0.4
"45",0.198713244173482,12,0,0.8,0.4
"46",0.29416421078241,4,2,0.8,0.4
"47",0.264853169707788,6,2,0.8,0.4
"48",0.227041882397245,8,2,0.8,0.4
"49",0.207888088517326,10,2,0.8,0.4
"50",0.180092910172127,12,2,0.8,0.4
"51",0.30464675966871,4,4,0.8,0.4
"52",0.283742721923272,6,4,0.8,0.4
"53",0.205992241500122,8,4,0.8,0.4
"54",0.207099496431895,10,4,0.8,0.4
"55",0.266195696616324,12,4,0.8,0.4
"56",0.283151325189589,4,6,0.8,0.4
"57",0.293158977509789,6,6,0.8,0.4
"58",0.245171444245258,8,6,0.8,0.4
"59",0.184361672759317,10,6,0.8,0.4
"60",0.233353667215727,12,6,0.8,0.4
"61",0.28331005054185,4,0,0.4,0.6
"62",0.251446016994781,6,0,0.4,0.6
"63",0.128009523375665,8,0,0.4,0.6
"64",0.0612601813655204,10,0,0.4,0.6
"65",0.1442600019195,12,0,0.4,0.6
"66",0.302954514736557,4,2,0.4,0.6
"67",0.222828795433157,6,2,0.4,0.6
"68",0.244271985953216,8,2,0.4,0.6
"69",0.199390557191147,10,2,0.4,0.6
"70",0.11328800296603,12,2,0.4,0.6
"71",0.33454590606011,4,4,0.4,0.6
"72",0.116948680427628,6,4,0.4,0.6
"73",0.202010351229448,8,4,0.4,0.6
"74",0.191233406699845,10,4,0.4,0.6
"75",0.179288787453376,12,4,0.4,0.6
"76",0.247341238654564,4,6,0.4,0.6
"77",0.268944589313847,6,6,0.4,0.6
"78",0.214545496322655,8,6,0.4,0.6
"79",0.0521190174129544,10,6,0.4,0.6
"80",0.197088589215266,12,6,0.4,0.6
"81",0.250028034166669,4,0,0.6,0.6
"82",0.263595765363239,6,0,0.6,0.6
"83",0.243649242884854,8,0,0.6,0.6
"84",0.222737230562288,10,0,0.6,0.6
"85",0.0726112033904321,12,0,0.6,0.6
"86",0.296099418123872,4,2,0.6,0.6
"87",0.26368827341088,6,2,0.6,0.6
"88",0.225901095810138,8,2,0.6,0.6
"89",0.229751730728831,10,2,0.6,0.6
"90",0.15719234762859,12,2,0.6,0.6
"91",0.317495806802584,4,4,0.6,0.6
"92",0.191531020093736,6,4,0.6,0.6
"93",0.133307192706923,8,4,0.6,0.6
"94",0.192656431096171,10,4,0.6,0.6
"95",0.222408997840664,12,4,0.6,0.6
"96",0.286501803173804,4,6,0.6,0.6
"97",0.273038987515562,6,6,0.6,0.6
"98",0.245352185710025,8,6,0.6,0.6
"99",0.247637539415529,10,6,0.6,0.6
"100",0.138034438418454,12,6,0.6,0.6
"101",0.263619596893918,4,0,0.8,0.6
"102",0.223831330273412,6,0,0.8,0.6
"103",0.266400783052468,8,0,0.8,0.6
"104",0.214687056531861,10,0,0.8,0.6
"105",0.145439673423503,12,0,0.8,0.6
"106",0.287609078236165,4,2,0.8,0.6
"107",0.26156507097875,6,2,0.8,0.6
"108",0.209504390431445,8,2,0.8,0.6
"109",0.125353860381578,10,2,0.8,0.6
"110",0.143692894703192,12,2,0.8,0.6
"111",0.28262996436785,4,4,0.8,0.6
"112",0.261875500248061,6,4,0.8,0.6
"113",0.184894338363882,8,4,0.8,0.6
"114",0.192839152371414,10,4,0.8,0.6
"115",0.177466318698057,12,4,0.8,0.6
"116",0.325710687607894,4,6,0.8,0.6
"117",0.208840630251946,6,6,0.8,0.6
"118",0.171173557227062,8,6,0.8,0.6
"119",0.221439214981461,10,6,0.8,0.6
"120",0.172921019396045,12,6,0.8,0.6
"121",0.287820472476918,4,0,0.4,0.8
"122",0.212189866751841,6,0,0.4,0.8
"123",0.148173719414602,8,0,0.4,0.8
"124",0.186832978618733,10,0,0.4,0.8
"125",0.053569187476739,12,0,0.4,0.8
"126",0.322355560323368,4,2,0.4,0.8
"127",0.154319876001417,6,2,0.4,0.8
"128",0.125352541584547,8,2,0.4,0.8
"129",0.182661446727105,10,2,0.4,0.8
"130",0.149718121782331,12,2,0.4,0.8
"131",0.30718429509126,4,4,0.4,0.8
"132",0.251203780813536,6,4,0.4,0.8
"133",0.226497187723159,8,4,0.4,0.8
"134",0.166645741548442,10,4,0.4,0.8
"135",0.187119748468344,12,4,0.4,0.8
"136",0.285978003268093,4,6,0.4,0.8
"137",0.186578173159658,6,6,0.4,0.8
"138",0.12592093395446,8,6,0.4,0.8
"139",0.0713794012490765,10,6,0.4,0.8
"140",0.19185902143629,12,6,0.4,0.8
"141",0.296140419698394,4,0,0.6,0.8
"142",0.19182637373278,6,0,0.6,0.8
"143",0.151033189325874,8,0,0.6,0.8
"144",0.226113185649441,10,0,0.6,0.8
"145",0.108744756803447,12,0,0.6,0.8
"146",0.280812068010619,4,2,0.6,0.8
"147",0.259987440029726,6,2,0.6,0.8
"148",0.134462636020851,8,2,0.6,0.8
"149",0.217715389911554,10,2,0.6,0.8
"150",0.132120333870308,12,2,0.6,0.8
"151",0.312934667345328,4,4,0.6,0.8
"152",0.217476832385874,6,4,0.6,0.8
"153",0.185573064402168,8,4,0.6,0.8
"154",0.0881258624860199,10,4,0.6,0.8
"155",0.17856788841001,12,4,0.6,0.8
"156",0.278250967922038,4,6,0.6,0.8
"157",0.243373998918288,6,6,0.6,0.8
"158",0.144394817172204,8,6,0.6,0.8
"159",0.171542162801979,10,6,0.6,0.8
"160",0.167734329300902,12,6,0.6,0.8
"161",0.288242100868903,4,0,0.8,0.8
"162",0.251397375082111,6,0,0.8,0.8
"163",0.195044422986371,8,0,0.8,0.8
"164",0.225065588319304,10,0,0.8,0.8
"165",0.151868557928785,12,0,0.8,0.8
"166",0.295771140284377,4,2,0.8,0.8
"167",0.163783332710379,6,2,0.8,0.8
