"","rmse","max_depth","gamma","subsample","colsample_bytree"
"1",0.247794747173782,6,0,0.4,0.4
"2",0.0873929994251103,8,0,0.4,0.4
"3",0.15022129098386,10,0,0.4,0.4
"4",0.0729765194011916,12,0,0.4,0.4
"5",0.253115396590449,6,2,0.4,0.4
"6",0.204464769496212,8,2,0.4,0.4
"7",0.254996988414832,10,2,0.4,0.4
"8",0.0363910184477985,12,2,0.4,0.4
"9",0.351109804203311,6,4,0.4,0.4
"10",0.162489512583497,8,4,0.4,0.4
"11",0.132701454390235,10,4,0.4,0.4
"12",0.186402968893623,12,4,0.4,0.4
"13",0.269388037005586,6,6,0.4,0.4
"14",0.145875166359543,8,6,0.4,0.4
"15",0.186714605283013,10,6,0.4,0.4
"16",0.19014092944469,12,6,0.4,0.4
"17",0.235811367039099,6,0,0.6,0.4
"18",0.254411553632162,8,0,0.6,0.4
"19",0.247605003713541,10,0,0.6,0.4
"20",0.161393545324302,12,0,0.6,0.4
"21",0.188697827800535,6,2,0.6,0.4
"22",0.242074202188454,8,2,0.6,0.4
"23",0.123094922873289,10,2,0.6,0.4
"24",0.206908261327775,12,2,0.6,0.4
"25",0.274507865076982,6,4,0.6,0.4
"26",0.220117337252848,8,4,0.6,0.4
"27",0.273569878190207,10,4,0.6,0.4
"28",0.169367329645377,12,4,0.6,0.4
"29",0.277612795118518,6,6,0.6,0.4
"30",0.248575864134747,8,6,0.6,0.4
"31",0.190832474378667,10,6,0.6,0.4
"32",0.0863785395382352,12,6,0.6,0.4
"33",0.300986209812957,6,0,0.8,0.4
"34",0.236707376561873,8,0,0.8,0.4
"35",0.211999443134473,10,0,0.8,0.4
"36",0.256813907229646,12,0,0.8,0.4
"37",0.256913203957579,6,2,0.8,0.4
"38",0.267075658113016,8,2,0.8,0.4
"39",0.209137145397254,10,2,0.8,0.4
"40",0.247411539337608,12,2,0.8,0.4
"41",0.264464054753975,6,4,0.8,0.4
"42",0.202244051230152,8,4,0.8,0.4
"43",0.180730149221879,10,4,0.8,0.4
"44",0.252811208064227,12,4,0.8,0.4
"45",0.297317619478015,6,6,0.8,0.4
"46",0.290202080390506,8,6,0.8,0.4
"47",0.243667959475613,10,6,0.8,0.4
"48",0.191143010947454,12,6,0.8,0.4
"49",0.266711852441049,6,0,0.4,0.6
"50",0.179516273574372,8,0,0.4,0.6
"51",0.114034119317736,10,0,0.4,0.6
"52",0.216179138073187,12,0,0.4,0.6
"53",0.157916141893615,6,2,0.4,0.6
"54",0.195247876336343,8,2,0.4,0.6
"55",0.196514319398537,10,2,0.4,0.6
"56",0.180819551632497,12,2,0.4,0.6
"57",0.246807636654523,6,4,0.4,0.6
"58",0.205988429078992,8,4,0.4,0.6
"59",0.207352354326607,10,4,0.4,0.6
"60",0.0311519081770325,12,4,0.4,0.6
"61",0.255094888996656,6,6,0.4,0.6
"62",0.118760893771102,8,6,0.4,0.6
"63",0.183645128020903,10,6,0.4,0.6
"64",0.136362511315992,12,6,0.4,0.6
"65",0.243287695691491,6,0,0.6,0.6
"66",0.192496393992596,8,0,0.6,0.6
"67",0.162178662744696,10,0,0.6,0.6
"68",0.18902870590251,12,0,0.6,0.6
"69",0.171151004250375,6,2,0.6,0.6
"70",0.149774498962875,8,2,0.6,0.6
"71",0.1526435152009,10,2,0.6,0.6
"72",0.113850253891623,12,2,0.6,0.6
"73",0.275537547467682,6,4,0.6,0.6
"74",0.218372523387053,8,4,0.6,0.6
"75",0.140990004887707,10,4,0.6,0.6
"76",0.188522891223567,12,4,0.6,0.6
"77",0.30128752718035,6,6,0.6,0.6
"78",0.230227507650661,8,6,0.6,0.6
"79",0.00786714206978191,10,6,0.6,0.6
"80",0.140920529897288,12,6,0.6,0.6
"81",0.21052528365383,6,0,0.8,0.6
"82",0.245651074768229,8,0,0.8,0.6
"83",0.190897318127966,10,0,0.8,0.6
"84",0.170838982983441,12,0,0.8,0.6
"85",0.238877986553651,6,2,0.8,0.6
"86",0.204976197948402,8,2,0.8,0.6
"87",0.104415728456587,10,2,0.8,0.6
"88",0.10235120532402,12,2,0.8,0.6
"89",0.273999397375164,6,4,0.8,0.6
"90",0.217138967358992,8,4,0.8,0.6
"91",0.183424673593306,10,4,0.8,0.6
"92",0.155187749291264,12,4,0.8,0.6
"93",0.234352879364269,6,6,0.8,0.6
"94",0.224607216111659,8,6,0.8,0.6
"95",0.173624052274679,10,6,0.8,0.6
"96",0.141024702756016,12,6,0.8,0.6
"97",0.18890761541758,6,0,0.4,0.8
"98",0.0874771435805998,8,0,0.4,0.8
"99",0.228173948771182,10,0,0.4,0.8
"100",0.0546041313213521,12,0,0.4,0.8
"101",0.244536181705191,6,2,0.4,0.8
"102",0.123574441934119,8,2,0.4,0.8
"103",0.191368162532454,10,2,0.4,0.8
"104",0.00213743480278688,12,2,0.4,0.8
"105",0.297527834690533,6,4,0.4,0.8
"106",0.213415073380983,8,4,0.4,0.8
"107",0.136674241585614,10,4,0.4,0.8
"108",0.139451419655301,12,4,0.4,0.8
"109",0.111517073223918,6,6,0.4,0.8
"110",0.134922845664159,8,6,0.4,0.8
"111",0.211413852020721,10,6,0.4,0.8
"112",0.00738898685012346,12,6,0.4,0.8
"113",0.201359681416811,6,0,0.6,0.8
"114",0.18580783818079,8,0,0.6,0.8
"115",0.13306793412065,10,0,0.6,0.8
"116",0.034553137411844,12,0,0.6,0.8
"117",0.242315850175947,6,2,0.6,0.8
"118",0.204204419622289,8,2,0.6,0.8
"119",0.155725053746594,10,2,0.6,0.8
"120",0.152030349101481,12,2,0.6,0.8
"121",0.190430808202988,6,4,0.6,0.8
"122",0.190469926683018,8,4,0.6,0.8
"123",0.187056797471972,10,4,0.6,0.8
"124",0.0741345021754471,12,4,0.6,0.8
"125",0.23891917415033,6,6,0.6,0.8
"126",0.103720118842224,8,6,0.6,0.8
"127",0.150042907359141,10,6,0.6,0.8
"128",0.136279998241667,12,6,0.6,0.8
"129",0.244666815287361,6,0,0.8,0.8
"130",0.22992540136638,8,0,0.8,0.8
"131",0.164584761085784,10,0,0.8,0.8
"132",0.171229693136172,12,0,0.8,0.8
"133",0.229862011212166,6,2,0.8,0.8
"134",0.169592661291339,8,2,0.8,0.8
"135",0.143668664423097,10,2,0.8,0.8
"136",0.15990111547864,12,2,0.8,0.8
"137",0.252231841417099,6,4,0.8,0.8
"138",0.135921016655397,8,4,0.8,0.8
"139",0.200838955064273,10,4,0.8,0.8
"140",0.131075136967774,12,4,0.8,0.8
"141",0.167836851052196,6,6,0.8,0.8
"142",0.216202984972386,8,6,0.8,0.8
"143",0.205887324248011,10,6,0.8,0.8
"144",0.119055923462112,12,6,0.8,0.8
